,neg,neu,pos,compound
kinghenryiv,0.08265921787709497,0.8257737430167598,0.091572625698324,0.01906480446927374
westmoreland,0.08962195121951219,0.825341463414634,0.08503658536585365,-0.017067073170731698
falstaff,0.07911369740376004,0.8249239033124434,0.09596418979409128,0.019717367949865706
princehenry,0.08152280130293156,0.8156547231270355,0.10283224755700322,0.028733387622149848
poins,0.07779545454545454,0.8759772727272729,0.04623863636363637,-0.012796590909090905
earlofworcester,0.09471354166666666,0.8073437500000001,0.09796354166666665,0.015357812500000003
northumberland,0.09793532338308457,0.796676616915423,0.10540796019900497,0.009125373134328369
hotspur,0.08504288164665524,0.8047118353344765,0.11025214408233276,0.040404459691252136
sirwalterblunt,0.08395555555555556,0.7709555555555555,0.14506666666666668,0.06674888888888887
firstcarrier,0.12622727272727274,0.8164090909090909,0.057318181818181824,-0.08569545454545456
ostler,0.0,1.0,0.0,0.0
secondcarrier,0.04717647058823529,0.8548823529411763,0.09794117647058824,0.011735294117647056
gadshill,0.035625,0.8406666666666669,0.12368750000000002,0.12342083333333331
chamberlain,0.05814942528735633,0.7988103448275864,0.14304022988505746,0.10928448275862067
bardolph,0.04754761904761905,0.8755595238095237,0.07688095238095236,0.024495238095238098
peto,0.058823529411764705,0.8257058823529411,0.11535294117647059,0.04982941176470589
firsttraveller,0.0,0.8915,0.1085,0.1806
thieves,0.0,1.0,0.0,0.0
travellers,0.0,0.6965,0.3035,0.23765
ladypercy,0.09634426229508196,0.8171639344262294,0.08650819672131148,-0.01267049180327869
servant,0.05081854838709678,0.8476693548387096,0.10150403225806454,0.06390604838709676
francis,0.0,0.9826875,0.0173125,0.0198875
vintner,0.0,1.0,0.0,0.0
hostess,0.05383000000000001,0.8762999999999999,0.06985999999999999,0.019330999999999997
sheriff,0.11746666666666666,0.7420666666666665,0.14046666666666666,0.04419333333333332
carrier,0.0,1.0,0.0,0.0
mortimer,0.0854320987654321,0.8044876543209878,0.11008641975308642,0.033958024691358016
glendower,0.0727560975609756,0.8501585365853661,0.07709756097560976,0.01498170731707317
earlofdouglas,0.10486538461538462,0.7952115384615386,0.09992307692307692,-0.027176923076923085
messenger,0.07073425196850396,0.8371043307086612,0.09216535433070863,0.02318228346456694
vernon,0.05094059405940594,0.8160891089108909,0.13297029702970298,0.11555643564356438
worcester,0.0,0.714,0.286,0.4215
archbishopofyork,0.049796296296296304,0.8495370370370372,0.10066666666666665,0.056994444444444445
sirmichael,0.027,0.7344999999999999,0.23850000000000002,0.21273749999999997
lancaster,0.06466666666666668,0.8618888888888888,0.07344444444444445,-0.03242222222222223
bedford,0.10141758241758243,0.7919010989010987,0.10670329670329672,-0.005202197802197796
gloucester,0.09807447916666677,0.7936963541666663,0.10823072916666669,0.012620625000000007
exeter,0.0915045045045045,0.8197567567567567,0.08872522522522522,-0.011075225225225228
ofwinchester,0.06875728155339805,0.8339611650485436,0.09728155339805823,0.03708252427184466
charles,0.06485786802030455,0.8102639593908628,0.12487309644670051,0.08537157360406093
alencon,0.0629,0.80844,0.12868000000000002,0.09456200000000001
reignier,0.09261904761904761,0.7888571428571427,0.11852380952380952,0.04808253968253968
bastardoforleans,0.0326,0.8176666666666669,0.14973333333333333,0.14153666666666667
joanlapucelle,0.1024336917562724,0.802505376344086,0.09506093189964154,-0.0054290322580645076
firstwarder,0.05975,0.8055,0.13475,0.15042499999999998
secondwarder,0.1775,0.8225,0.0,-0.32985
woodvile,0.073,0.8603999999999999,0.0666,0.02812
mayor,0.11130555555555557,0.7847222222222221,0.10397222222222223,0.025105555555555555
officer,0.07440384615384615,0.8225192307692308,0.10303846153846154,0.044976923076923074
boy,0.08545669291338583,0.8512204724409448,0.06333070866141732,-0.02490944881889765
salisbury,0.11133450704225353,0.7711936619718311,0.1174612676056337,0.015186619718309854
talbot,0.11552850877192981,0.7912192982456137,0.09324561403508771,-0.039800219298245613
gargrave,0.0,0.841,0.159,0.20995
glansdale,0.0,1.0,0.0,0.0
sergeant,0.12468181818181817,0.7837499999999998,0.09156818181818181,-0.05057727272727274
firstsentinel,0.18816666666666668,0.8118333333333333,0.0,-0.2556833333333333
burgundy,0.077936,0.7909360000000002,0.13112000000000001,0.08530720000000003
sentinels,0.40166666666666667,0.5693333333333334,0.028999999999999998,-0.5774333333333334
soldier,0.05808695652173913,0.8767246376811595,0.06518840579710145,0.00973768115942028
captain,0.10113095238095235,0.7880833333333335,0.11079761904761905,0.0005988095238095276
ofauvergne,0.09690000000000001,0.8318199999999999,0.07126,-0.020548
porter,0.05256701030927835,0.8893814432989692,0.05805154639175257,0.030552577319587625
plantagenet,0.08909999999999998,0.8093899999999999,0.10150999999999998,0.008026
suffolk,0.08886509274873522,0.7945278246205728,0.11660539629005062,0.035501854974704886
somerset,0.07934027777777776,0.8224513888888884,0.09820833333333333,0.011452083333333335
warwick,0.08641014492753622,0.8064797101449269,0.10710579710144932,0.0296376811594203
lawyer,0.06899999999999999,0.9309999999999999,0.0,-0.09725714285714285
firstgaoler,0.06045283018867924,0.8580377358490566,0.08149056603773584,0.034062264150943385
kinghenryvi,0.08901635768811345,0.7814165757906218,0.1295692475463468,0.050659432933478715
all,0.07021379310344827,0.7964896551724137,0.13330344827586207,0.052661379310344814
firstsoldier,0.049807407407407404,0.8752370370370373,0.07494814814814815,0.014285185185185187
watch,0.0,1.0,0.0,0.0
fastolfe,0.0,0.8283333333333333,0.17166666666666666,0.2691444444444444
basset,0.1336,0.7475200000000001,0.11884,-0.029644000000000007
york,0.08814054054054049,0.8185635135135136,0.09329324324324326,0.0046866216216216216
general,0.2003793103448276,0.7015517241379309,0.09803448275862069,-0.14914137931034482
lucy,0.09483132530120482,0.790879518072289,0.11427710843373494,0.029712048192771085
johntalbot,0.17736170212765953,0.7298510638297876,0.09280851063829787,-0.12365531914893617
legate,0.0,1.0,0.0,0.0
scout,0.060399999999999995,0.6891999999999999,0.2504,0.23806
margaret,0.06453000000000002,0.8299700000000003,0.10550999999999998,0.07019
shepherd,0.05656626506024097,0.8410421686746989,0.10238554216867474,0.05918855421686745
queenmargaret,0.11937072018890205,0.775572609208973,0.10505548996458088,-0.02436682408500589
cardinal,0.0928083333333333,0.8086500000000001,0.09854999999999998,0.0051025
buckingham,0.07077994011976046,0.7995359281437127,0.12968562874251488,0.091790868263473
duchess,0.09418617021276596,0.8203510638297875,0.08546276595744681,-0.010662234042553188
hume,0.07058823529411765,0.8329411764705883,0.09647058823529411,0.028250000000000008
firstpetitioner,0.052125,0.90225,0.045625,0.005974999999999994
secondpetitioner,0.10999999999999999,0.7133333333333333,0.17666666666666667,0.007283333333333346
peter,0.06726984126984126,0.8246190476190475,0.10812698412698414,0.04130158730158731
horner,0.15,0.7484166666666668,0.10162500000000001,-0.006687499999999996
bolingbroke,0.08086206896551724,0.8499310344827585,0.06920689655172414,-0.01493448275862069
spirit,0.10729999999999999,0.8446,0.0481,-0.09136000000000002
margaretjourdain,0.0,0.94225,0.05775,0.0683
townsman,0.0775,0.6725,0.25,0.11140000000000001
simpcox,0.14453846153846153,0.7381153846153847,0.11734615384615385,-0.02725384615384617
wife,0.091375,0.8095,0.09912499999999999,0.05422500000000001
beadle,0.0,1.0,0.0,0.0
both,0.047119999999999995,0.8050000000000002,0.14788,0.06674399999999998
firstneighbour,0.1205,0.8009999999999999,0.079,-0.1366
secondneighbour,0.0,1.0,0.0,0.0
thirdneighbour,0.195,0.6585,0.1465,-0.026749999999999996
servants,0.0,1.0,0.0,0.0
herald,0.011128205128205127,0.8535897435897436,0.1352820512820513,0.17213846153846155
stanley,0.046225,0.8459249999999999,0.10790000000000002,0.10052499999999998
post,0.07194871794871795,0.8442307692307691,0.08382051282051282,-0.0039461538461538475
firstmurderer,0.06788461538461538,0.8497788461538462,0.08234615384615385,0.021119230769230765
secondmurderer,0.117075,0.8013874999999999,0.08152499999999999,-0.044371249999999994
firstmurder,0.0,1.0,0.0,0.0
commons,0.0,1.0,0.0,0.0
vaux,0.08386666666666667,0.8654666666666666,0.050666666666666665,-0.05218
firstgentleman,0.0651056338028169,0.8355598591549294,0.09933450704225352,0.037992605633802815
master,0.0,0.9581428571428571,0.04185714285714286,0.06291428571428571
secondgentleman,0.04020873786407766,0.8279563106796117,0.1318349514563107,0.1020674757281553
whitmore,0.18747619047619046,0.7796666666666665,0.032857142857142856,-0.18921904761904762
bevis,0.14850000000000002,0.716357142857143,0.1352857142857143,-0.03301428571428571
holland,0.07742105263157895,0.8876315789473683,0.03494736842105263,-0.0666
cade,0.06482656826568264,0.8682878228782288,0.06688560885608856,0.016760147601476018
dick,0.07372222222222223,0.8506111111111111,0.0756388888888889,0.0021388888888888846
smith,0.0828,0.8578666666666667,0.059333333333333335,0.00715333333333333
clerk,0.06225000000000001,0.83395,0.10375000000000001,0.074215
michael,0.29175,0.70825,0.0,-0.099675
sirhumphrey,0.12811764705882353,0.8395294117647057,0.03235294117647059,-0.09770588235294118
williamstafford,0.13442857142857143,0.7941428571428572,0.07142857142857142,-0.1110857142857143
say,0.08646153846153845,0.7733461538461539,0.1401923076923077,0.06320576923076922
scales,0.08481818181818182,0.8853636363636365,0.02981818181818182,-0.06754545454545455
firstcitizen,0.06485106382978724,0.7981276595744681,0.13703191489361705,0.09603510638297871
clifford,0.11131578947368416,0.8028612440191385,0.08583253588516744,-0.030864114832535868
iden,0.11421052631578947,0.8042105263157893,0.08159649122807017,-0.054468421052631576
edward,0.0836521739130435,0.8246521739130437,0.09168115942028984,0.02471521739130435
richard,0.11903645833333339,0.7948697916666667,0.08609375000000002,-0.050519270833333324
youngclifford,0.16084615384615386,0.7881346153846154,0.051057692307692304,-0.14433846153846155
montague,0.06589024390243901,0.8361463414634146,0.09796341463414633,0.05116951219512194
norfolk,0.07582608695652175,0.8123956521739132,0.11177826086956522,0.05197782608695653
princeedward,0.07801086956521738,0.8065543478260871,0.11543478260869565,0.05039239130434783
johnmortimer,0.0,1.0,0.0,0.0
rutland,0.17026923076923076,0.7591153846153846,0.07065384615384615,-0.15847692307692304
tutor,0.28375,0.6775,0.03875,-0.3378
prince,0.14543678160919538,0.7858275862068967,0.0687126436781609,-0.11967241379310344
george,0.10525,0.8002083333333333,0.09450000000000001,-0.008149999999999996
son,0.13306382978723405,0.7995957446808512,0.0673404255319149,-0.1043531914893617
father,0.11839285714285716,0.8437499999999999,0.03789285714285714,-0.11089285714285714
firstkeeper,0.0855,0.8824444444444445,0.03205555555555555,-0.0021333333333333295
secondkeeper,0.0758,0.8917999999999999,0.0324,-0.059533333333333334
kingedwardiv,0.06696473551637283,0.8116977329974812,0.1213476070528967,0.08262115869017633
clarence,0.11439147286821709,0.8033682170542634,0.08224806201550386,-0.04635116279069765
ladygrey,0.07377777777777778,0.6959722222222224,0.23024999999999998,0.2207194444444444
nobleman,0.28250000000000003,0.5735,0.144,-0.1822
kinglewisxi,0.03359722222222222,0.8442777777777777,0.12211111111111111,0.11480555555555558
oxford,0.06628571428571428,0.8106904761904762,0.1230238095238095,0.0900404761904762
bona,0.0443,0.8181999999999998,0.13749999999999998,0.13555999999999999
hastings,0.08258333333333333,0.7874111111111108,0.12999444444444444,0.06272
queenelizabeth,0.11974074074074076,0.7614135802469133,0.11883950617283948,-0.001931481481481474
firstwatchman,0.12189999999999998,0.8152249999999999,0.062875,-0.0747825
secondwatchman,0.052684210526315785,0.9105263157894737,0.03678947368421053,-0.02846315789473684
thirdwatchman,0.06808333333333333,0.8289166666666666,0.103,0.06864166666666666
rivers,0.10914285714285714,0.759603174603175,0.13123809523809526,0.0336904761904762
huntsman,0.1185,0.735,0.1465,0.009450000000000014
lieutenant,0.044000000000000004,0.8498666666666668,0.10613333333333334,0.06374666666666666
firstmessenger,0.0,1.0,0.0,0.0
secondmessenger,0.081,0.8672647058823529,0.05170588235294118,-0.031035294117647064
countess,0.06515436241610736,0.8070536912751677,0.12779194630872487,0.07886140939597314
bertram,0.0547298245614035,0.8243859649122804,0.12089122807017541,0.08794526315789475
lafeu,0.061052264808362386,0.804752613240418,0.13419512195121955,0.0923801393728223
helena,0.0849020408163265,0.7638040816326523,0.1512965986394558,0.0922199999999998
parolles,0.07499483204134362,0.8144186046511628,0.11058139534883715,0.04291111111111113
page,0.06486069651741294,0.8395970149253732,0.09554726368159205,0.04669651741293534
king,0.07510344827586209,0.7959975369458127,0.1289088669950739,0.08275098522167489
firstlord,0.07290801186943621,0.7966973293768549,0.13038278931750744,0.07212522255192881
secondlord,0.09169257950530035,0.7926996466431092,0.11561837455830389,0.03861731448763253
steward,0.11667441860465112,0.7379534883720932,0.14537209302325585,0.02825581395348839
clown,0.08767039800995015,0.8100733830845767,0.1022611940298508,0.021784825870646764
fourthlord,0.114625,0.83975,0.045625,-0.0526875
duke,0.05163481228668943,0.8251877133105802,0.12317747440273039,0.10009761092150171
